,name,country,coords
https://openalex.org/I4401726785,Microsoft Research New York City (United States),,"(40.714271545410156, -74.00596618652344)"
https://openalex.org/I183067930,Shanghai Jiao Tong University,CN,"(31.222219467163086, 121.45806121826172)"
https://openalex.org/I14243506,Hong Kong Polytechnic University,HK,"(22.27832, 114.17469)"
https://openalex.org/I19700959,Florida International University,US,"(25.774269104003906, -80.19365692138672)"
https://openalex.org/I4210134434,NXP (Belgium),BE,"(50.8511962890625, 4.729921817779541)"
https://openalex.org/I4210131919,Xi'an University of Technology,CN,"(34.258331298828125, 108.9286117553711)"
https://openalex.org/I139759216,Beijing University of Posts and Telecommunications,CN,"(39.907501220703125, 116.39723205566406)"
https://openalex.org/I4210132990,State Key Laboratory of Cryptology,CN,"(39.8773307800293, 116.27870178222656)"
https://openalex.org/I4210136859,Xi’an University of Posts and Telecommunications,CN,"(34.258331298828125, 108.9286117553711)"
https://openalex.org/I34949971,University of Jinan,CN,"(36.668331146240234, 116.99722290039062)"
https://openalex.org/I28006308,Shandong Normal University,CN,"(36.668331146240234, 116.99722290039062)"
https://openalex.org/I98285908,The University of Osaka,JP,"(34.69379, 135.50107)"
https://openalex.org/I919571938,The University of Texas Health Science Center at Houston,US,"(29.76328, -95.36327)"
https://openalex.org/I5343935,Guilin University of Electronic Technology,CN,"(25.281644821166992, 110.3372802734375)"
https://openalex.org/I4210100258,National Confidential Enquiry into Patient Outcome and Death,GB,"(51.50853, -0.12574)"
https://openalex.org/I99464096,KU Leuven,BE,"(50.87959, 4.70093)"
https://openalex.org/I71270174,Victoria University,AU,"(-37.81399917602539, 144.96331787109375)"
https://openalex.org/I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,"(49.59099, 11.00783)"
https://openalex.org/I76766440,University of San Francisco,US,"(37.77492904663086, -122.41941833496094)"
https://openalex.org/I9842412,Nanjing University of Aeronautics and Astronautics,CN,"(32.061668395996094, 118.77777862548828)"
https://openalex.org/I134446601,Berkeley College,US,"(40.71427, -74.00597)"
https://openalex.org/I200769079,Hong Kong University of Science and Technology,HK,"(22.27832, 114.17469)"
https://openalex.org/I96733725,Shanghai Maritime University,CN,"(31.222219467163086, 121.45806121826172)"
https://openalex.org/I63354593,Sichuan Normal University,CN,"(30.666669845581055, 104.0666732788086)"
https://openalex.org/I111753288,Fujian Normal University,CN,"(26.061389923095703, 119.30610656738281)"
